Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:20:02

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
588.0000      	17006.8027    	1586.63635    
588.5000      	16992.3534    	1565.54541    
589.0000      	16977.9287    	1603.27271    
589.5000      	16963.5284    	1589.00000    
590.0000      	16949.1525    	1691.09094    
590.5000      	16934.8010    	1593.90906    
591.0000      	16920.4738    	1570.00000    
591.5000      	16906.1708    	1643.54541    
592.0000      	16891.8919    	1568.18176    
592.5000      	16877.6371    	1619.00000    
593.0000      	16863.4064    	1569.18176    
593.5000      	16849.1997    	1604.63635    
594.0000      	16835.0168    	1540.09094    
594.5000      	16820.8579    	1780.27271    
595.0000      	16806.7227    	1641.18176    
595.5000      	16792.6113    	1583.09094    
596.0000      	16778.5235    	1719.90906    
596.5000      	16764.4593    	1663.45459    
597.0000      	16750.4188    	1612.45459    
597.5000      	16736.4017    	1613.72729    
598.0000      	16722.4080    	1732.36365    
598.5000      	16708.4378    	1745.63635    
599.0000      	16694.4908    	1806.72729    
599.5000      	16680.5671    	1697.81824    
600.0000      	16666.6667    	1723.90906    
600.5000      	16652.7893    	1754.90906    
601.0000      	16638.9351    	1797.18176    
601.5000      	16625.1039    	1714.54541    
602.0000      	16611.2957    	1718.81824    
602.5000      	16597.5104    	1755.36365    
603.0000      	16583.7479    	1769.18176    
603.5000      	16570.0083    	1727.18176    
604.0000      	16556.2914    	1744.09094    
604.5000      	16542.5972    	1923.54541    
605.0000      	16528.9256    	1954.27271    
605.5000      	16515.2766    	1865.72729    
606.0000      	16501.6502    	1853.36365    
606.5000      	16488.0462    	1900.18176    
607.0000      	16474.4646    	1910.18176    
607.5000      	16460.9053    	2031.18176    
608.0000      	16447.3684    	2114.27271    
608.5000      	16433.8537    	2014.36365    
609.0000      	16420.3612    	2120.36353    
609.5000      	16406.8909    	2021.63635    
610.0000      	16393.4426    	2131.18188    
610.5000      	16380.0164    	2258.36353    
611.0000      	16366.6121    	2164.90918    
611.5000      	16353.2298    	2216.09082    
612.0000      	16339.8693    	2236.18188    
612.5000      	16326.5306    	2359.18188    
613.0000      	16313.2137    	2347.81812    
613.5000      	16299.9185    	2509.54541    
614.0000      	16286.6450    	2476.81812    
614.5000      	16273.3930    	2569.36353    
615.0000      	16260.1626    	2628.00000    
615.5000      	16246.9537    	2641.18188    
616.0000      	16233.7662    	2764.18188    
616.5000      	16220.6002    	2842.81812    
617.0000      	16207.4554    	3010.81812    
617.5000      	16194.3320    	2988.90918    
618.0000      	16181.2298    	3026.90918    
618.5000      	16168.1487    	3278.18188    
619.0000      	16155.0889    	3354.45459    
619.5000      	16142.0500    	3327.72729    
620.0000      	16129.0323    	3460.90918    
620.5000      	16116.0355    	3614.72729    
621.0000      	16103.0596    	3610.27271    
621.5000      	16090.1046    	3650.27271    
622.0000      	16077.1704    	3761.54541    
622.5000      	16064.2570    	3951.81812    
623.0000      	16051.3644    	4007.09082    
623.5000      	16038.4924    	4082.90918    
624.0000      	16025.6410    	4238.18164    
624.5000      	16012.8102    	4498.63623    
625.0000      	16000.0000    	4578.54541    
625.5000      	15987.2102    	4715.63623    
626.0000      	15974.4409    	4866.09082    
626.5000      	15961.6919    	5049.09082    
627.0000      	15948.9633    	5395.72705    
627.5000      	15936.2550    	5834.63623    
628.0000      	15923.5669    	6047.81836    
628.5000      	15910.8990    	6277.09082    
629.0000      	15898.2512    	6831.72705    
629.5000      	15885.6235    	7345.81836    
630.0000      	15873.0159    	7605.36377    
630.5000      	15860.4282    	8230.54590    
631.0000      	15847.8605    	8875.81836    
631.5000      	15835.3127    	9486.27246    
632.0000      	15822.7848    	9874.45410    
632.5000      	15810.2767    	10575.54590   
633.0000      	15797.7883    	11291.63672   
633.5000      	15785.3197    	11993.90918   
634.0000      	15772.8707    	12556.54590   
634.5000      	15760.4413    	13250.18164   
635.0000      	15748.0315    	14147.54590   
635.5000      	15735.6412    	14791.72754   
636.0000      	15723.2704    	15605.45410   
636.5000      	15710.9191    	15841.63672   
637.0000      	15698.5871    	16958.00000   
637.5000      	15686.2745    	17943.36328   
638.0000      	15673.9812    	18615.72656   
638.5000      	15661.7071    	18932.09180   
639.0000      	15649.4523    	19651.90820   
639.5000      	15637.2166    	20194.90820   
640.0000      	15625.0000    	20475.36328   
640.5000      	15612.8025    	20559.90820   
641.0000      	15600.6240    	20513.18164   
641.5000      	15588.4645    	20182.36328   
642.0000      	15576.3240    	19399.09180   
642.5000      	15564.2023    	19014.36328   
643.0000      	15552.0995    	17624.36328   
643.5000      	15540.0155    	16199.45410   
644.0000      	15527.9503    	14803.81836   
644.5000      	15515.9038    	14049.45410   
645.0000      	15503.8760    	12508.09082   
645.5000      	15491.8668    	11141.27246   
646.0000      	15479.8762    	9832.81836    
646.5000      	15467.9041    	9280.54590    
647.0000      	15455.9505    	8187.63623    
647.5000      	15444.0154    	7500.27295    
648.0000      	15432.0988    	6690.54541    
648.5000      	15420.2005    	6426.36377    
649.0000      	15408.3205    	5791.18164    
649.5000      	15396.4588    	5347.63623    
650.0000      	15384.6154    	4876.36377    
650.5000      	15372.7902    	4669.72705    
651.0000      	15360.9831    	4353.90918    
651.5000      	15349.1942    	3997.81812    
652.0000      	15337.4233    	3863.63647    
652.5000      	15325.6705    	3627.72729    
653.0000      	15313.9357    	3376.54541    
653.5000      	15302.2188    	3180.27271    
654.0000      	15290.5199    	2974.63647    
654.5000      	15278.8388    	2850.54541    
655.0000      	15267.1756    	2661.45459    
655.5000      	15255.5301    	2579.36353    
656.0000      	15243.9024    	2429.90918    
656.5000      	15232.2925    	2365.36353    
657.0000      	15220.7002    	2190.27271    
657.5000      	15209.1255    	2269.36353    
658.0000      	15197.5684    	2046.45459    
658.5000      	15186.0289    	1981.72729    
659.0000      	15174.5068    	1865.63635    
659.5000      	15163.0023    	1920.54541    
660.0000      	15151.5152    	1788.72729    
660.5000      	15140.0454    	1776.18176    
661.0000      	15128.5930    	1833.00000    
661.5000      	15117.1580    	1812.90906    
662.0000      	15105.7402    	1728.72729    
662.5000      	15094.3396    	1747.81824    
663.0000      	15082.9563    	1639.27271    
663.5000      	15071.5901    	1614.18176    
664.0000      	15060.2410    	1569.09094    
