Unit Serial No : 240-LV0P465-EU
Integration Time : 240 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:13:18

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
549.0000      	18214.9362    	2681.81812    
549.5000      	18198.3621    	2753.63647    
550.0000      	18181.8182    	2528.18188    
550.5000      	18165.3043    	2663.72729    
551.0000      	18148.8203    	2279.90918    
551.5000      	18132.3663    	2551.54541    
552.0000      	18115.9420    	2375.18188    
552.5000      	18099.5475    	2455.18188    
553.0000      	18083.1826    	2281.54541    
553.5000      	18066.8473    	3117.63647    
554.0000      	18050.5415    	2774.00000    
554.5000      	18034.2651    	2586.90918    
555.0000      	18018.0180    	2362.27271    
555.5000      	18001.8002    	2417.72729    
556.0000      	17985.6115    	2329.81812    
556.5000      	17969.4519    	2286.09082    
557.0000      	17953.3214    	2435.09082    
557.5000      	17937.2197    	2479.72729    
558.0000      	17921.1470    	2534.36353    
558.5000      	17905.1030    	2451.90918    
559.0000      	17889.0877    	2555.90918    
559.5000      	17873.1010    	3008.81812    
560.0000      	17857.1429    	2775.54541    
560.5000      	17841.2132    	2481.36353    
561.0000      	17825.3119    	2766.45459    
561.5000      	17809.4390    	2235.72729    
562.0000      	17793.5943    	2714.54541    
562.5000      	17777.7778    	2730.09082    
563.0000      	17761.9893    	2543.81812    
563.5000      	17746.2289    	2272.63647    
564.0000      	17730.4965    	2712.09082    
564.5000      	17714.7919    	2629.63647    
565.0000      	17699.1150    	2319.45459    
565.5000      	17683.4660    	2237.63647    
566.0000      	17667.8445    	2781.63647    
566.5000      	17652.2507    	2395.36353    
567.0000      	17636.6843    	2370.54541    
567.5000      	17621.1454    	2433.45459    
568.0000      	17605.6338    	2531.45459    
568.5000      	17590.1495    	2424.54541    
569.0000      	17574.6924    	2559.90918    
569.5000      	17559.2625    	2513.81812    
570.0000      	17543.8596    	2388.00000    
570.5000      	17528.4838    	2237.09082    
571.0000      	17513.1349    	2536.81812    
571.5000      	17497.8128    	2740.90918    
572.0000      	17482.5175    	2413.09082    
572.5000      	17467.2489    	2903.54541    
573.0000      	17452.0070    	2239.18188    
573.5000      	17436.7916    	2568.18188    
574.0000      	17421.6028    	2399.00000    
574.5000      	17406.4404    	2383.72729    
575.0000      	17391.3043    	2526.72729    
575.5000      	17376.1946    	2460.00000    
576.0000      	17361.1111    	2569.00000    
576.5000      	17346.0538    	2358.36353    
577.0000      	17331.0225    	2336.18188    
577.5000      	17316.0173    	2256.63647    
578.0000      	17301.0381    	2569.18188    
578.5000      	17286.0847    	2448.90918    
579.0000      	17271.1572    	2665.27271    
579.5000      	17256.2554    	2457.54541    
580.0000      	17241.3793    	3502.09082    
580.5000      	17226.5289    	2826.72729    
581.0000      	17211.7040    	2646.45459    
581.5000      	17196.9046    	2244.54541    
582.0000      	17182.1306    	2489.90918    
582.5000      	17167.3820    	2615.27271    
583.0000      	17152.6587    	2425.27271    
583.5000      	17137.9606    	2789.45459    
584.0000      	17123.2877    	2373.45459    
584.5000      	17108.6399    	2186.36353    
585.0000      	17094.0171    	2330.27271    
585.5000      	17079.4193    	2110.90918    
586.0000      	17064.8464    	2442.27271    
586.5000      	17050.2984    	2392.72729    
587.0000      	17035.7751    	2475.45459    
587.5000      	17021.2766    	2473.90918    
588.0000      	17006.8027    	2624.09082    
588.5000      	16992.3534    	2607.18188    
589.0000      	16977.9287    	2687.27271    
589.5000      	16963.5284    	2617.81812    
590.0000      	16949.1525    	3043.27271    
590.5000      	16934.8010    	2630.63647    
591.0000      	16920.4738    	2528.90918    
591.5000      	16906.1708    	2762.54541    
592.0000      	16891.8919    	2466.81812    
592.5000      	16877.6371    	2665.90918    
593.0000      	16863.4064    	2441.72729    
593.5000      	16849.1997    	2524.27271    
594.0000      	16835.0168    	2241.63647    
594.5000      	16820.8579    	3078.09082    
595.0000      	16806.7227    	2470.00000    
595.5000      	16792.6113    	2275.90918    
596.0000      	16778.5235    	2893.18188    
596.5000      	16764.4593    	2671.45459    
597.0000      	16750.4188    	2385.36353    
597.5000      	16736.4017    	2324.45459    
598.0000      	16722.4080    	2758.00000    
598.5000      	16708.4378    	2796.27271    
599.0000      	16694.4908    	2873.81812    
599.5000      	16680.5671    	2531.36353    
600.0000      	16666.6667    	2595.63647    
600.5000      	16652.7893    	2646.27271    
601.0000      	16638.9351    	2814.90918    
601.5000      	16625.1039    	2439.36353    
602.0000      	16611.2957    	2366.72729    
602.5000      	16597.5104    	2397.72729    
603.0000      	16583.7479    	2394.45459    
603.5000      	16570.0083    	2252.54541    
604.0000      	16556.2914    	2323.81812    
604.5000      	16542.5972    	2849.72729    
605.0000      	16528.9256    	2947.18188    
605.5000      	16515.2766    	2506.09082    
606.0000      	16501.6502    	2372.54541    
606.5000      	16488.0462    	2479.27271    
607.0000      	16474.4646    	2391.72729    
607.5000      	16460.9053    	2790.36353    
608.0000      	16447.3684    	3049.81812    
608.5000      	16433.8537    	2585.27271    
609.0000      	16420.3612    	2881.18188    
609.5000      	16406.8909    	2416.54541    
610.0000      	16393.4426    	2686.72729    
610.5000      	16380.0164    	2998.09082    
611.0000      	16366.6121    	2290.00000    
611.5000      	16353.2298    	2525.27271    
612.0000      	16339.8693    	2492.90918    
612.5000      	16326.5306    	2785.81812    
613.0000      	16313.2137    	2357.81812    
613.5000      	16299.9185    	2879.81812    
614.0000      	16286.6450    	2501.90918    
614.5000      	16273.3930    	2572.63647    
615.0000      	16260.1626    	2422.18188    
615.5000      	16246.9537    	2333.45459    
616.0000      	16233.7662    	2509.72729    
616.5000      	16220.6002    	2295.81812    
617.0000      	16207.4554    	2635.18188    
617.5000      	16194.3320    	2435.72729    
618.0000      	16181.2298    	2155.27271    
618.5000      	16168.1487    	2630.90918    
619.0000      	16155.0889    	2579.09082    
619.5000      	16142.0500    	2395.72729    
620.0000      	16129.0323    	2539.27271    
620.5000      	16116.0355    	2820.45459    
621.0000      	16103.0596    	2463.18188    
621.5000      	16090.1046    	2155.63647    
622.0000      	16077.1704    	2361.45459    
622.5000      	16064.2570    	2790.90918    
623.0000      	16051.3644    	2474.54541    
623.5000      	16038.4924    	2367.72729    
624.0000      	16025.6410    	2542.90918    
624.5000      	16012.8102    	3029.81812    
625.0000      	16000.0000    	2630.54541    
625.5000      	15987.2102    	2408.54541    
