Unit Serial No : 240-LV0P465-EU
Integration Time : 60 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   10:23:23

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
486.0000      	20576.1317    	1864.63635    
486.5000      	20554.9846    	1752.54541    
487.0000      	20533.8809    	1849.54541    
487.5000      	20512.8205    	1882.54541    
488.0000      	20491.8033    	2021.27271    
488.5000      	20470.8291    	1909.72729    
489.0000      	20449.8978    	1936.27271    
489.5000      	20429.0092    	2070.27271    
490.0000      	20408.1633    	2135.36353    
490.5000      	20387.3598    	2140.72729    
491.0000      	20366.5988    	2153.09082    
491.5000      	20345.8800    	2315.18188    
492.0000      	20325.2033    	2297.09082    
492.5000      	20304.5685    	2371.36353    
493.0000      	20283.9757    	2548.72729    
493.5000      	20263.4245    	2401.09082    
494.0000      	20242.9150    	2550.81812    
494.5000      	20222.4469    	2697.18188    
495.0000      	20202.0202    	2766.90918    
495.5000      	20181.6347    	2787.72729    
496.0000      	20161.2903    	2964.00000    
496.5000      	20140.9869    	3003.18188    
497.0000      	20120.7243    	3096.81812    
497.5000      	20100.5025    	3315.90918    
498.0000      	20080.3213    	3321.54541    
498.5000      	20060.1805    	3476.00000    
499.0000      	20040.0802    	3771.54541    
499.5000      	20020.0200    	3757.18188    
500.0000      	20000.0000    	3859.18188    
500.5000      	19980.0200    	4056.27271    
501.0000      	19960.0798    	4260.63623    
501.5000      	19940.1795    	4343.27295    
502.0000      	19920.3187    	4487.90918    
502.5000      	19900.4975    	4625.00000    
503.0000      	19880.7157    	4758.90918    
503.5000      	19860.9732    	5052.45459    
504.0000      	19841.2698    	5275.00000    
504.5000      	19821.6056    	5510.09082    
505.0000      	19801.9802    	5568.63623    
505.5000      	19782.3937    	5741.72705    
506.0000      	19762.8458    	5961.72705    
506.5000      	19743.3366    	6162.18164    
507.0000      	19723.8659    	6475.27295    
507.5000      	19704.4335    	6635.90918    
508.0000      	19685.0394    	6808.18164    
508.5000      	19665.6834    	6939.00000    
509.0000      	19646.3654    	7145.54541    
509.5000      	19627.0854    	7415.72705    
510.0000      	19607.8431    	7625.90918    
510.5000      	19588.6386    	7675.72705    
511.0000      	19569.4716    	7842.00000    
511.5000      	19550.3421    	8120.90918    
512.0000      	19531.2500    	8254.63672    
512.5000      	19512.1951    	8225.18164    
513.0000      	19493.1774    	8308.00000    
513.5000      	19474.1967    	8394.72754    
514.0000      	19455.2529    	8536.09082    
514.5000      	19436.3460    	8546.81836    
515.0000      	19417.4757    	8563.54590    
515.5000      	19398.6421    	8693.00000    
516.0000      	19379.8450    	8607.36328    
516.5000      	19361.0842    	8635.90918    
517.0000      	19342.3598    	8527.27246    
517.5000      	19323.6715    	8641.27246    
518.0000      	19305.0193    	8543.09082    
518.5000      	19286.4031    	8429.54590    
519.0000      	19267.8227    	8311.90918    
519.5000      	19249.2782    	8268.18164    
520.0000      	19230.7692    	8145.63623    
520.5000      	19212.2959    	8095.00000    
521.0000      	19193.8580    	7971.54541    
521.5000      	19175.4554    	7745.36377    
522.0000      	19157.0881    	7708.09082    
522.5000      	19138.7560    	7481.36377    
523.0000      	19120.4589    	7350.72705    
523.5000      	19102.1968    	7145.54541    
524.0000      	19083.9695    	7018.36377    
524.5000      	19065.7769    	6839.18164    
525.0000      	19047.6190    	6714.18164    
525.5000      	19029.4957    	6450.72705    
526.0000      	19011.4068    	6363.72705    
526.5000      	18993.3523    	6435.81836    
527.0000      	18975.3321    	6045.81836    
527.5000      	18957.3460    	5790.09082    
528.0000      	18939.3939    	5762.90918    
528.5000      	18921.4759    	5757.18164    
529.0000      	18903.5917    	5505.45459    
529.5000      	18885.7413    	5374.00000    
530.0000      	18867.9245    	5184.54541    
530.5000      	18850.1414    	5029.63623    
531.0000      	18832.3917    	5070.00000    
531.5000      	18814.6754    	4908.81836    
532.0000      	18796.9925    	4846.18164    
532.5000      	18779.3427    	4695.45459    
533.0000      	18761.7261    	4545.00000    
533.5000      	18744.1425    	4491.27295    
534.0000      	18726.5918    	4438.90918    
534.5000      	18709.0739    	4301.09082    
535.0000      	18691.5888    	4308.09082    
535.5000      	18674.1363    	4125.63623    
536.0000      	18656.7164    	4172.27295    
536.5000      	18639.3290    	3999.27271    
537.0000      	18621.9739    	3932.81812    
537.5000      	18604.6512    	3890.45459    
538.0000      	18587.3606    	3799.00000    
538.5000      	18570.1021    	3750.18188    
539.0000      	18552.8757    	3692.27271    
539.5000      	18535.6812    	3654.54541    
540.0000      	18518.5185    	3492.18188    
540.5000      	18501.3876    	3458.63647    
541.0000      	18484.2884    	3491.09082    
541.5000      	18467.2207    	3413.45459    
542.0000      	18450.1845    	3379.27271    
542.5000      	18433.1797    	3227.90918    
543.0000      	18416.2063    	3239.36353    
543.5000      	18399.2640    	3254.81812    
544.0000      	18382.3529    	3169.54541    
544.5000      	18365.4729    	3050.09082    
545.0000      	18348.6239    	3101.72729    
545.5000      	18331.8057    	3019.72729    
546.0000      	18315.0183    	3072.18188    
546.5000      	18298.2617    	2925.72729    
547.0000      	18281.5356    	2878.90918    
547.5000      	18264.8402    	2835.00000    
548.0000      	18248.1752    	2817.54541    
548.5000      	18231.5406    	2686.54541    
549.0000      	18214.9362    	2733.45459    
549.5000      	18198.3621    	2694.45459    
550.0000      	18181.8182    	2600.81812    
550.5000      	18165.3043    	2619.09082    
551.0000      	18148.8203    	2508.81812    
551.5000      	18132.3663    	2501.00000    
552.0000      	18115.9420    	2435.90918    
552.5000      	18099.5475    	2406.36353    
553.0000      	18083.1826    	2336.36353    
553.5000      	18066.8473    	2499.63647    
554.0000      	18050.5415    	2385.18188    
554.5000      	18034.2651    	2333.09082    
555.0000      	18018.0180    	2214.54541    
555.5000      	18001.8002    	2216.45459    
556.0000      	17985.6115    	2157.81812    
556.5000      	17969.4519    	2129.00000    
557.0000      	17953.3214    	2161.54541    
557.5000      	17937.2197    	2122.54541    
558.0000      	17921.1470    	2108.09082    
558.5000      	17905.1030    	2081.18188    
559.0000      	17889.0877    	2081.18188    
559.5000      	17873.1010    	2140.54541    
560.0000      	17857.1429    	2098.45459    
560.5000      	17841.2132    	1978.63635    
561.0000      	17825.3119    	2058.81812    
561.5000      	17809.4390    	1904.81824    
562.0000      	17793.5943    	1972.81824    
562.5000      	17777.7778    	1970.45459    
563.0000      	17761.9893    	1918.27271    
563.5000      	17746.2289    	1846.36365    
564.0000      	17730.4965    	1929.00000    
564.5000      	17714.7919    	1911.45459    
565.0000      	17699.1150    	1825.00000    
565.5000      	17683.4660    	1756.63635    
566.0000      	17667.8445    	1891.09094    
566.5000      	17652.2507    	1777.63635    
567.0000      	17636.6843    	1790.90906    
567.5000      	17621.1454    	1775.18176    
568.0000      	17605.6338    	1756.81824    
568.5000      	17590.1495    	1723.36365    
569.0000      	17574.6924    	1751.00000    
569.5000      	17559.2625    	1734.27271    
570.0000      	17543.8596    	1721.09094    
570.5000      	17528.4838    	1674.00000    
571.0000      	17513.1349    	1705.81824    
571.5000      	17497.8128    	1757.18176    
572.0000      	17482.5175    	1677.45459    
572.5000      	17467.2489    	1771.72729    
573.0000      	17452.0070    	1599.18176    
573.5000      	17436.7916    	1691.45459    
574.0000      	17421.6028    	1651.63635    
574.5000      	17406.4404    	1649.81824    
575.0000      	17391.3043    	1641.54541    
575.5000      	17376.1946    	1632.36365    
576.0000      	17361.1111    	1643.18176    
576.5000      	17346.0538    	1601.63635    
577.0000      	17331.0225    	1559.27271    
577.5000      	17316.0173    	1540.63635    
578.0000      	17301.0381    	1612.63635    
578.5000      	17286.0847    	1585.81824    
579.0000      	17271.1572    	1628.81824    
579.5000      	17256.2554    	1599.09094    
580.0000      	17241.3793    	1824.90906    
580.5000      	17226.5289    	1654.45459    
581.0000      	17211.7040    	1619.45459    
581.5000      	17196.9046    	1497.81824    
582.0000      	17182.1306    	1592.81824    
582.5000      	17167.3820    	1609.27271    
583.0000      	17152.6587    	1546.90906    
583.5000      	17137.9606    	1621.45459    
584.0000      	17123.2877    	1517.54541    
584.5000      	17108.6399    	1464.45459    
585.0000      	17094.0171    	1489.18176    
585.5000      	17079.4193    	1444.63635    
586.0000      	17064.8464    	1532.36365    
586.5000      	17050.2984    	1507.45459    
587.0000      	17035.7751    	1512.36365    
587.5000      	17021.2766    	1517.45459    
588.0000      	17006.8027    	1561.45459    
588.5000      	16992.3534    	1563.54541    
589.0000      	16977.9287    	1569.27271    
589.5000      	16963.5284    	1545.54541    
590.0000      	16949.1525    	1658.09094    
590.5000      	16934.8010    	1537.36365    
591.0000      	16920.4738    	1517.54541    
591.5000      	16906.1708    	1600.72729    
592.0000      	16891.8919    	1503.90906    
592.5000      	16877.6371    	1540.18176    
593.0000      	16863.4064    	1517.72729    
593.5000      	16849.1997    	1518.09094    
594.0000      	16835.0168    	1438.81824    
594.5000      	16820.8579    	1672.54541    
595.0000      	16806.7227    	1504.36365    
595.5000      	16792.6113    	1430.54541    
596.0000      	16778.5235    	1586.36365    
596.5000      	16764.4593    	1525.09094    
597.0000      	16750.4188    	1492.09094    
597.5000      	16736.4017    	1459.45459    
598.0000      	16722.4080    	1553.36365    
598.5000      	16708.4378    	1569.36365    
599.0000      	16694.4908    	1548.09094    
599.5000      	16680.5671    	1488.90906    
600.0000      	16666.6667    	1522.27271    
600.5000      	16652.7893    	1548.00000    
601.0000      	16638.9351    	1567.90906    
601.5000      	16625.1039    	1483.63635    
602.0000      	16611.2957    	1462.00000    
602.5000      	16597.5104    	1466.81824    
603.0000      	16583.7479    	1450.81824    
603.5000      	16570.0083    	1412.90906    
604.0000      	16556.2914    	1442.54541    
604.5000      	16542.5972    	1568.27271    
605.0000      	16528.9256    	1572.63635    
605.5000      	16515.2766    	1473.45459    
606.0000      	16501.6502    	1429.90906    
606.5000      	16488.0462    	1478.18176    
607.0000      	16474.4646    	1468.18176    
607.5000      	16460.9053    	1557.36365    
608.0000      	16447.3684    	1571.18176    
608.5000      	16433.8537    	1481.27271    
609.0000      	16420.3612    	1568.72729    
609.5000      	16406.8909    	1449.00000    
610.0000      	16393.4426    	1524.72729    
610.5000      	16380.0164    	1581.18176    
611.0000      	16366.6121    	1431.90906    
611.5000      	16353.2298    	1494.00000    
612.0000      	16339.8693    	1466.45459    
612.5000      	16326.5306    	1552.00000    
613.0000      	16313.2137    	1435.18176    
613.5000      	16299.9185    	1557.54541    
614.0000      	16286.6450    	1446.90906    
614.5000      	16273.3930    	1473.27271    
615.0000      	16260.1626    	1447.09094    
615.5000      	16246.9537    	1431.90906    
616.0000      	16233.7662    	1478.72729    
616.5000      	16220.6002    	1435.90906    
617.0000      	16207.4554    	1496.81824    
617.5000      	16194.3320    	1456.00000    
618.0000      	16181.2298    	1372.54541    
618.5000      	16168.1487    	1505.18176    
619.0000      	16155.0889    	1496.72729    
619.5000      	16142.0500    	1449.72729    
620.0000      	16129.0323    	1475.63635    
620.5000      	16116.0355    	1525.27271    
621.0000      	16103.0596    	1435.09094    
621.5000      	16090.1046    	1387.72729    
622.0000      	16077.1704    	1425.54541    
622.5000      	16064.2570    	1538.81824    
623.0000      	16051.3644    	1461.54541    
623.5000      	16038.4924    	1419.00000    
624.0000      	16025.6410    	1458.45459    
624.5000      	16012.8102    	1593.90906    
625.0000      	16000.0000    	1491.00000    
625.5000      	15987.2102    	1456.63635    
626.0000      	15974.4409    	1491.81824    
626.5000      	15961.6919    	1433.09094    
627.0000      	15948.9633    	1500.81824    
627.5000      	15936.2550    	1515.81824    
628.0000      	15923.5669    	1520.09094    
628.5000      	15910.8990    	1399.72729    
629.0000      	15898.2512    	1459.54541    
629.5000      	15885.6235    	1397.00000    
630.0000      	15873.0159    	1395.36365    
630.5000      	15860.4282    	1443.90906    
631.0000      	15847.8605    	1452.27271    
631.5000      	15835.3127    	1412.63635    
632.0000      	15822.7848    	1458.27271    
632.5000      	15810.2767    	1480.54541    
633.0000      	15797.7883    	1409.45459    
633.5000      	15785.3197    	1359.90906    
634.0000      	15772.8707    	1532.63635    
634.5000      	15760.4413    	1491.90906    
635.0000      	15748.0315    	1453.00000    
635.5000      	15735.6412    	1540.09094    
636.0000      	15723.2704    	1515.90906    
636.5000      	15710.9191    	1433.63635    
637.0000      	15698.5871    	1551.00000    
637.5000      	15686.2745    	1522.90906    
638.0000      	15673.9812    	1455.36365    
638.5000      	15661.7071    	1423.18176    
639.0000      	15649.4523    	1541.36365    
639.5000      	15637.2166    	1482.54541    
640.0000      	15625.0000    	1548.09094    
640.5000      	15612.8025    	1516.45459    
641.0000      	15600.6240    	1479.63635    
641.5000      	15588.4645    	1499.81824    
642.0000      	15576.3240    	1375.45459    
642.5000      	15564.2023    	1506.54541    
643.0000      	15552.0995    	1375.81824    
643.5000      	15540.0155    	1394.00000    
644.0000      	15527.9503    	1450.90906    
644.5000      	15515.9038    	1485.36365    
645.0000      	15503.8760    	1413.81824    
645.5000      	15491.8668    	1468.90906    
646.0000      	15479.8762    	1436.72729    
646.5000      	15467.9041    	1458.81824    
647.0000      	15455.9505    	1427.09094    
647.5000      	15444.0154    	1489.36365    
648.0000      	15432.0988    	1480.45459    
648.5000      	15420.2005    	1528.00000    
649.0000      	15408.3205    	1462.18176    
649.5000      	15396.4588    	1529.00000    
650.0000      	15384.6154    	1442.72729    
650.5000      	15372.7902    	1423.00000    
651.0000      	15360.9831    	1422.63635    
651.5000      	15349.1942    	1382.36365    
652.0000      	15337.4233    	1531.45459    
652.5000      	15325.6705    	1431.72729    
653.0000      	15313.9357    	1402.81824    
653.5000      	15302.2188    	1424.81824    
654.0000      	15290.5199    	1423.27271    
654.5000      	15278.8388    	1389.81824    
655.0000      	15267.1756    	1369.90906    
655.5000      	15255.5301    	1436.54541    
656.0000      	15243.9024    	1450.36365    
656.5000      	15232.2925    	1442.63635    
657.0000      	15220.7002    	1414.27271    
657.5000      	15209.1255    	1592.00000    
658.0000      	15197.5684    	1458.90906    
658.5000      	15186.0289    	1422.09094    
659.0000      	15174.5068    	1358.54541    
659.5000      	15163.0023    	1489.27271    
660.0000      	15151.5152    	1411.27271    
660.5000      	15140.0454    	1434.09094    
661.0000      	15128.5930    	1513.18176    
661.5000      	15117.1580    	1528.09094    
662.0000      	15105.7402    	1496.00000    
662.5000      	15094.3396    	1543.63635    
663.0000      	15082.9563    	1467.81824    
663.5000      	15071.5901    	1490.63635    
664.0000      	15060.2410    	1430.72729    
664.5000      	15048.9090    	1408.63635    
665.0000      	15037.5940    	1475.45459    
665.5000      	15026.2960    	1481.63635    
666.0000      	15015.0150    	1474.00000    
666.5000      	15003.7509    	1473.54541    
667.0000      	14992.5037    	1486.00000    
667.5000      	14981.2734    	1532.09094    
668.0000      	14970.0599    	1494.90906    
668.5000      	14958.8631    	1414.36365    
669.0000      	14947.6831    	1428.18176    
669.5000      	14936.5198    	1403.90906    
670.0000      	14925.3731    	1432.54541    
670.5000      	14914.2431    	1478.09094    
671.0000      	14903.1297    	1507.54541    
671.5000      	14892.0328    	1466.36365    
672.0000      	14880.9524    	1448.63635    
672.5000      	14869.8885    	1432.45459    
673.0000      	14858.8410    	1457.18176    
673.5000      	14847.8099    	1428.45459    
674.0000      	14836.7953    	1479.36365    
674.5000      	14825.7969    	1588.63635    
675.0000      	14814.8148    	1540.63635    
675.5000      	14803.8490    	1473.90906    
676.0000      	14792.8994    	1469.00000    
676.5000      	14781.9660    	1521.72729    
677.0000      	14771.0487    	1575.72729    
677.5000      	14760.1476    	1469.36365    
678.0000      	14749.2625    	1490.54541    
678.5000      	14738.3935    	1503.18176    
679.0000      	14727.5405    	1609.36365    
679.5000      	14716.7035    	1505.45459    
680.0000      	14705.8824    	1488.45459    
680.5000      	14695.0771    	1414.90906    
681.0000      	14684.2878    	1432.63635    
681.5000      	14673.5143    	1512.00000    
682.0000      	14662.7566    	1484.72729    
682.5000      	14652.0147    	1525.45459    
683.0000      	14641.2884    	1461.00000    
683.5000      	14630.5779    	1514.72729    
684.0000      	14619.8830    	1451.45459    
684.5000      	14609.2038    	1469.00000    
