Unit Serial No : 240-LV0P465-EU
Integration Time : 113 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:23:29

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
476.0000      	21008.4034    	6501.45459    
476.5000      	20986.3589    	6469.18164    
477.0000      	20964.3606    	6408.54541    
477.5000      	20942.4084    	6279.54541    
478.0000      	20920.5021    	6193.09082    
478.5000      	20898.6416    	5982.45459    
479.0000      	20876.8267    	5808.81836    
479.5000      	20855.0574    	5757.27295    
480.0000      	20833.3333    	5755.63623    
480.5000      	20811.6545    	5597.72705    
481.0000      	20790.0208    	5558.45459    
481.5000      	20768.4320    	5292.72705    
482.0000      	20746.8880    	5322.27295    
482.5000      	20725.3886    	5393.72705    
483.0000      	20703.9337    	5169.18164    
483.5000      	20682.5233    	5118.00000    
484.0000      	20661.1570    	4938.45459    
484.5000      	20639.8349    	4741.90918    
485.0000      	20618.5567    	4716.18164    
485.5000      	20597.3223    	4687.36377    
486.0000      	20576.1317    	4546.18164    
486.5000      	20554.9846    	4200.63623    
487.0000      	20533.8809    	4142.45459    
487.5000      	20512.8205    	4014.63647    
488.0000      	20491.8033    	4146.45459    
488.5000      	20470.8291    	3839.45459    
489.0000      	20449.8978    	3703.00000    
489.5000      	20429.0092    	3765.27271    
490.0000      	20408.1633    	3660.45459    
490.5000      	20387.3598    	3520.09082    
491.0000      	20366.5988    	3449.72729    
491.5000      	20345.8800    	3507.00000    
492.0000      	20325.2033    	3317.36353    
492.5000      	20304.5685    	3209.36353    
493.0000      	20283.9757    	3365.27271    
493.5000      	20263.4245    	3090.81812    
494.0000      	20242.9150    	3159.18188    
494.5000      	20222.4469    	3181.63647    
495.0000      	20202.0202    	3069.18188    
495.5000      	20181.6347    	2937.72729    
496.0000      	20161.2903    	3020.54541    
496.5000      	20140.9869    	2946.90918    
497.0000      	20120.7243    	2866.54541    
497.5000      	20100.5025    	2966.90918    
498.0000      	20080.3213    	2792.27271    
498.5000      	20060.1805    	2686.81812    
499.0000      	20040.0802    	2898.18188    
499.5000      	20020.0200    	2756.81812    
500.0000      	20000.0000    	2597.63647    
500.5000      	19980.0200    	2630.72729    
501.0000      	19960.0798    	2622.54541    
501.5000      	19940.1795    	2519.54541    
502.0000      	19920.3187    	2543.36353    
502.5000      	19900.4975    	2412.18188    
503.0000      	19880.7157    	2327.63647    
503.5000      	19860.9732    	2381.36353    
504.0000      	19841.2698    	2357.18188    
504.5000      	19821.6056    	2444.54541    
505.0000      	19801.9802    	2365.81812    
505.5000      	19782.3937    	2243.18188    
506.0000      	19762.8458    	2282.00000    
506.5000      	19743.3366    	2170.63647    
507.0000      	19723.8659    	2267.09082    
507.5000      	19704.4335    	2319.45459    
508.0000      	19685.0394    	2312.54541    
508.5000      	19665.6834    	2128.63647    
509.0000      	19646.3654    	2217.63647    
509.5000      	19627.0854    	2359.36353    
510.0000      	19607.8431    	2429.09082    
510.5000      	19588.6386    	2177.00000    
511.0000      	19569.4716    	2123.54541    
511.5000      	19550.3421    	2282.09082    
512.0000      	19531.2500    	2296.54541    
512.5000      	19512.1951    	2062.54541    
513.0000      	19493.1774    	2066.54541    
513.5000      	19474.1967    	2059.09082    
514.0000      	19455.2529    	2140.18188    
514.5000      	19436.3460    	2083.27271    
515.0000      	19417.4757    	2058.18188    
515.5000      	19398.6421    	2190.72729    
516.0000      	19379.8450    	2039.81824    
516.5000      	19361.0842    	2060.63647    
517.0000      	19342.3598    	1992.45459    
517.5000      	19323.6715    	2074.81812    
518.0000      	19305.0193    	1979.81824    
518.5000      	19286.4031    	1960.09094    
519.0000      	19267.8227    	1885.54541    
519.5000      	19249.2782    	1986.63635    
