Unit Serial No : 240-LV0P465-EU
Integration Time : 249 ms
Time Average: 11
Binning Average: 0
FFT Smoothing: 0%
Project Name : Project Name
Sample Name : Sample Name
Measurement No : 1
Measurement Time : 09/18/2007   09:28:53

Wavelength(nm)	Wavenumber(1/cm)	Intensity(Counts)
581.0000      	17211.7040    	2606.09082    
581.5000      	17196.9046    	2322.45459    
582.0000      	17182.1306    	2517.81812    
582.5000      	17167.3820    	2627.72729    
583.0000      	17152.6587    	2452.36353    
583.5000      	17137.9606    	2729.45459    
584.0000      	17123.2877    	2398.90918    
584.5000      	17108.6399    	2259.81812    
585.0000      	17094.0171    	2384.27271    
585.5000      	17079.4193    	2207.09082    
586.0000      	17064.8464    	2484.00000    
586.5000      	17050.2984    	2402.54541    
587.0000      	17035.7751    	2492.45459    
587.5000      	17021.2766    	2489.36353    
588.0000      	17006.8027    	2655.90918    
588.5000      	16992.3534    	2588.09082    
589.0000      	16977.9287    	2654.36353    
589.5000      	16963.5284    	2598.27271    
590.0000      	16949.1525    	2962.63647    
590.5000      	16934.8010    	2630.00000    
591.0000      	16920.4738    	2530.09082    
591.5000      	16906.1708    	2775.54541    
592.0000      	16891.8919    	2486.63647    
592.5000      	16877.6371    	2651.45459    
593.0000      	16863.4064    	2503.72729    
593.5000      	16849.1997    	2543.72729    
594.0000      	16835.0168    	2306.27271    
594.5000      	16820.8579    	3012.72729    
595.0000      	16806.7227    	2480.00000    
595.5000      	16792.6113    	2333.54541    
596.0000      	16778.5235    	2833.27271    
596.5000      	16764.4593    	2646.45459    
597.0000      	16750.4188    	2432.18188    
597.5000      	16736.4017    	2364.36353    
598.0000      	16722.4080    	2742.72729    
598.5000      	16708.4378    	2722.09082    
599.0000      	16694.4908    	2764.54541    
599.5000      	16680.5671    	2519.18188    
600.0000      	16666.6667    	2594.54541    
600.5000      	16652.7893    	2633.27271    
601.0000      	16638.9351    	2775.18188    
601.5000      	16625.1039    	2457.90918    
602.0000      	16611.2957    	2387.54541    
602.5000      	16597.5104    	2413.27271    
603.0000      	16583.7479    	2426.90918    
603.5000      	16570.0083    	2335.27271    
604.0000      	16556.2914    	2380.90918    
604.5000      	16542.5972    	2812.90918    
605.0000      	16528.9256    	2886.54541    
605.5000      	16515.2766    	2511.90918    
606.0000      	16501.6502    	2414.72729    
606.5000      	16488.0462    	2508.45459    
607.0000      	16474.4646    	2494.18188    
607.5000      	16460.9053    	2741.36353    
608.0000      	16447.3684    	2950.36353    
608.5000      	16433.8537    	2578.63647    
609.0000      	16420.3612    	2809.45459    
609.5000      	16406.8909    	2413.09082    
610.0000      	16393.4426    	2667.09082    
610.5000      	16380.0164    	2980.81812    
611.0000      	16366.6121    	2335.45459    
611.5000      	16353.2298    	2543.81812    
612.0000      	16339.8693    	2517.90918    
612.5000      	16326.5306    	2747.72729    
